,director_name,actor_2_name,genres,actor_1_name,movie_title,actor_3_name,combined
3586,Robert Redford,Elizabeth McGovern,Drama,Adam Baldwin,Ordinary People,Judd Hirsch,Robert Redford Elizabeth McGovern Drama Adam Baldwin Judd Hirsch
3587,Frank Coraci,Steve Coogan,Action Adventure Comedy,Jim Broadbent,Around the World in 80 Days,Cécile De France,Frank Coraci Steve Coogan Action Adventure Comedy Jim Broadbent Cécile De France
3588,Jerome Robbins,George Chakiris,Crime Drama Musical Romance Thriller,Rita Moreno,West Side Story,Richard Beymer,Jerome Robbins George Chakiris Crime Drama Musical Romance Thriller Rita Moreno Richard Beymer
3589,Harold Ramis,Rodney Dangerfield,Comedy Sport,Bill Murray,Caddyshack,Brian Doyle-Murray,Harold Ramis Rodney Dangerfield Comedy Sport Bill Murray Brian Doyle-Murray
3590,Gary Hardwick,Tatyana Ali,Comedy Drama,Julie Benz,The Brothers,Jenifer Lewis,Gary Hardwick Tatyana Ali Comedy Drama Julie Benz Jenifer Lewis
3591,Rick Famuyiwa,Tamala Jones,Comedy Drama Romance,Omar Epps,The Wood,Richard T. Jones,Rick Famuyiwa Tamala Jones Comedy Drama Romance Omar Epps Richard T. Jones
3592,Bryan Singer,Chazz Palminteri,Crime Drama Mystery Thriller,Kevin Spacey,The Usual Suspects,Kevin Pollak,Bryan Singer Chazz Palminteri Crime Drama Mystery Thriller Kevin Spacey Kevin Pollak
3593,Stephen Hopkins,Kelly Jo Minter,Fantasy Horror Romance Thriller,Lisa Wilcox,A Nightmare on Elm Street 5: The Dream Child,Matthew Borlenghi,Stephen Hopkins Kelly Jo Minter Fantasy Horror Romance Thriller Lisa Wilcox Matthew Borlenghi
3594,Walt Becker,Curtis Armstrong,Comedy Romance,Ryan Reynolds,Van Wilder: Party Liaison,Erik Estrada,Walt Becker Curtis Armstrong Comedy Romance Ryan Reynolds Erik Estrada
3595,Darren Aronofsky,John D'Leo,Drama Sport,Mark Margolis,The Wrestler,Ajay Naidu,Darren Aronofsky John D'Leo Drama Sport Mark Margolis Ajay Naidu
3596,King Vidor,Lillian Gish,Drama Romance Western,Joseph Cotten,Duel in the Sun,Jennifer Jones,King Vidor Lillian Gish Drama Romance Western Joseph Cotten Jennifer Jones
3597,Christopher Guest,Catherine O'Hara,Comedy,John Michael Higgins,Best in Show,Michael McKean,Christopher Guest Catherine O'Hara Comedy John Michael Higgins Michael McKean
3598,John Carpenter,Adrienne Barbeau,Action Sci-Fi,Donald Pleasence,Escape from New York,Tom Atkins,John Carpenter Adrienne Barbeau Action Sci-Fi Donald Pleasence Tom Atkins
3599,Spike Lee,Ossie Davis,Comedy Drama Musical,Tisha Campbell-Martin,School Daze,Bill Nunn,Spike Lee Ossie Davis Comedy Drama Musical Tisha Campbell-Martin Bill Nunn
3600,Fred Savage,Brian Doyle-Murray,Comedy Family,Lochlyn Munro,Daddy Day Camp,Tamala Jones,Fred Savage Brian Doyle-Murray Comedy Family Lochlyn Munro Tamala Jones
3601,Sammo Kam-Bo Hung,Richard Norton,Action Comedy Crime,Sammo Kam-Bo Hung,Mr. Nice Guy,Rachel Blakely,Sammo Kam-Bo Hung Richard Norton Action Comedy Crime Sammo Kam-Bo Hung Rachel Blakely
3602,Christopher Guest,Christopher Guest,Comedy Music,Michael McKean,A Mighty Wind,Laura Harris,Christopher Guest Christopher Guest Comedy Music Michael McKean Laura Harris
3603,Donald Petrie,Lili Taylor,Comedy Drama Romance,Julia Roberts,Mystic Pizza,Conchata Ferrell,Donald Petrie Lili Taylor Comedy Drama Romance Julia Roberts Conchata Ferrell
3605,Peter Howitt,Kevin McNally,Comedy Drama Fantasy Romance,Jeanne Tripplehorn,Sliding Doors,John Lynch,Peter Howitt Kevin McNally Comedy Drama Fantasy Romance Jeanne Tripplehorn John Lynch
3606,Rusty Cundieff,Clarence Williams III,Comedy Horror Thriller,Corbin Bernsen,Tales from the Hood,David Alan Grier,Rusty Cundieff Clarence Williams III Comedy Horror Thriller Corbin Bernsen David Alan Grier
3607,Kevin Macdonald,Simon McBurney,Biography Drama History Thriller,David Oyelowo,The Last King of Scotland,Abby Mukiibi Nkaaga,Kevin Macdonald Simon McBurney Biography Drama History Thriller David Oyelowo Abby Mukiibi Nkaaga
3608,Dominique Othenin-Girard,Tamara Glynn,Horror Thriller,Donald Pleasence,Halloween 5,Troy Evans,Dominique Othenin-Girard Tamara Glynn Horror Thriller Donald Pleasence Troy Evans
3609,Richard Linklater,Brandon Smith,Comedy Crime Drama,Matthew McConaughey,Bernie,Rick Dial,Richard Linklater Brandon Smith Comedy Crime Drama Matthew McConaughey Rick Dial
3611,Ed Harris,Bud Cort,Biography Drama,John Heard,Pollock,Amy Madigan,Ed Harris Bud Cort Biography Drama John Heard Amy Madigan
3612,Risa Bramon Garcia,Dave Chappelle,Comedy Drama Romance,Janeane Garofalo,200 Cigarettes,Gaby Hoffmann,Risa Bramon Garcia Dave Chappelle Comedy Drama Romance Janeane Garofalo Gaby Hoffmann
3613,Brian Klugman,Bradley Cooper,Drama Mystery Romance Thriller,J.K. Simmons,The Words,Olivia Wilde,Brian Klugman Bradley Cooper Drama Mystery Romance Thriller J.K. Simmons Olivia Wilde
3614,Matt Piedmont,Adrian Martinez,Comedy Western,Will Ferrell,Casa de mi Padre,Luis E. Carazo,Matt Piedmont Adrian Martinez Comedy Western Will Ferrell Luis E. Carazo
3615,Raymond De Felitta,Curtiss Cook,Comedy Drama,Ezra Miller,City Island,Dominik García-Lorido,Raymond De Felitta Curtiss Cook Comedy Drama Ezra Miller Dominik García-Lorido
3616,John Michael McDonagh,Fionnula Flanagan,Comedy Crime Thriller,Don Cheadle,The Guard,Wale Ojo,John Michael McDonagh Fionnula Flanagan Comedy Crime Thriller Don Cheadle Wale Ojo
3617,Deb Hagan,Alona Tal,Comedy,Drake Bell,College,Haley Bennett,Deb Hagan Alona Tal Comedy Drake Bell Haley Bennett
3618,Sofia Coppola,Kathleen Turner,Drama Romance,Kirsten Dunst,The Virgin Suicides,Scott Glenn,Sofia Coppola Kathleen Turner Drama Romance Kirsten Dunst Scott Glenn
3619,Mark Herman,Annette Badland,Comedy Drama Music Romance,Jim Broadbent,Little Voice,Brenda Blethyn,Mark Herman Annette Badland Comedy Drama Music Romance Jim Broadbent Brenda Blethyn
3620,Zach Cregger,Windell Middlebrooks,Comedy Romance,Hugh M. Hefner,Miss March,Raquel Alessi,Zach Cregger Windell Middlebrooks Comedy Romance Hugh M. Hefner Raquel Alessi
3621,Zach Braff,Josh Gad,Comedy Drama,Jim Parsons,Wish I Was Here,Michael Weston,Zach Braff Josh Gad Comedy Drama Jim Parsons Michael Weston
3622,Mark Tarlov,Dylan Baker,Comedy Drama Fantasy Romance,Sarah Michelle Gellar,Simply Irresistible,Lawrence Gilliard Jr.,Mark Tarlov Dylan Baker Comedy Drama Fantasy Romance Sarah Michelle Gellar Lawrence Gilliard Jr.
3624,John Cameron Mitchell,Miriam Shor,Comedy Drama Music Musical,John Cameron Mitchell,Hedwig and the Angry Inch,Andrea Martin,John Cameron Mitchell Miriam Shor Comedy Drama Music Musical John Cameron Mitchell Andrea Martin
3625,Sheldon Lettich,Ryan Bollman,Action Drama,Antoni Corone,Only the Strong,Todd Susman,Sheldon Lettich Ryan Bollman Action Drama Antoni Corone Todd Susman
3626,Jon Knautz,Monda Scott,Drama Horror Mystery Thriller,Rachel Alig,Goddess of Love,Alexis Kendra,Jon Knautz Monda Scott Drama Horror Mystery Thriller Rachel Alig Alexis Kendra
3627,Billy Ray,Rosario Dawson,Drama History,Hayden Christensen,Shattered Glass,Cas Anvar,Billy Ray Rosario Dawson Drama History Hayden Christensen Cas Anvar
3628,David Atkins,Lynne Thigpen,Comedy Crime Drama Thriller,Chelcie Ross,Novocaine,Polly Noonan,David Atkins Lynne Thigpen Comedy Crime Drama Thriller Chelcie Ross Polly Noonan
3629,Patrick Stettner,Tony Devon,Drama Thriller,Stockard Channing,The Business of Strangers,Frederick Weller,Patrick Stettner Tony Devon Drama Thriller Stockard Channing Frederick Weller
3630,Sam Peckinpah,Warren Oates,Action Adventure Western,William Holden,The Wild Bunch,L.Q. Jones,Sam Peckinpah Warren Oates Action Adventure Western William Holden L.Q. Jones
3631,Jonathan Levine,Aaron Yoo,Comedy Drama Romance,Mary-Kate Olsen,The Wackness,Method Man,Jonathan Levine Aaron Yoo Comedy Drama Romance Mary-Kate Olsen Method Man
3632,Michael Crichton,Michael Elphick,Adventure Crime Drama Thriller,Lesley-Anne Down,The Great Train Robbery,Pamela Salem,Michael Crichton Michael Elphick Adventure Crime Drama Thriller Lesley-Anne Down Pamela Salem
3633,Lynne Ramsay,Bryan Dick,Drama,Samantha Morton,Morvern Callar,Paul Popplewell,Lynne Ramsay Bryan Dick Drama Samantha Morton Paul Popplewell
3634,Sylvio Tabet,Kari Wuhrer,Action Adventure Fantasy Sci-Fi,Michael Berryman,Beastmaster 2: Through the Portal of Time,Marc Singer,Sylvio Tabet Kari Wuhrer Action Adventure Fantasy Sci-Fi Michael Berryman Marc Singer
3635,Rick Bieber,Kendrick Cross,Biography Drama Sport,Aidan Quinn,The 5th Quarter,Sammy Nagi Njuguna,Rick Bieber Kendrick Cross Biography Drama Sport Aidan Quinn Sammy Nagi Njuguna
3636,Claude Chabrol,Nathalie Baye,Drama,Benoît Magimel,The Flower of Evil,Mélanie Doutey,Claude Chabrol Nathalie Baye Drama Benoît Magimel Mélanie Doutey
3637,Shana Feste,Zoë Kravitz,Drama Romance,Jennifer Ehle,The Greatest,Cara Seymour,Shana Feste Zoë Kravitz Drama Romance Jennifer Ehle Cara Seymour
3638,Wayne Wang,Russell Wong,Drama History,Bingbing Li,Snow Flower and the Secret Fan,Ji-hyun Jun,Wayne Wang Russell Wong Drama History Bingbing Li Ji-hyun Jun
3639,Joey Lauren Adams,Diane Ladd,Drama Romance,Tim Blake Nelson,Come Early Morning,Ritchie Montgomery,Joey Lauren Adams Diane Ladd Drama Romance Tim Blake Nelson Ritchie Montgomery
3640,Peter Cattaneo,Olivia Williams,Comedy Crime Romance,James Nesbitt,Lucky Break,Peter McNamara,Peter Cattaneo Olivia Williams Comedy Crime Romance James Nesbitt Peter McNamara
3641,Fred Zinnemann,Jane Fonda,Drama,Meryl Streep,Julia,Vanessa Redgrave,Fred Zinnemann Jane Fonda Drama Meryl Streep Vanessa Redgrave
3642,S.R. Bindler,Scott Glenn,Comedy,Matthew McConaughey,"Surfer, Dude",Sarah Wright,S.R. Bindler Scott Glenn Comedy Matthew McConaughey Sarah Wright
3643,Tony Kaye,Pat Buchanan,Documentary,Noam Chomsky,Lake of Fire,Bill Baird,Tony Kaye Pat Buchanan Documentary Noam Chomsky Bill Baird
3644,Greg Marcks,Barbara Hershey,Comedy Crime Drama,Henry Thomas,11:14,Shawn Hatosy,Greg Marcks Barbara Hershey Comedy Crime Drama Henry Thomas Shawn Hatosy
3645,Perry Lang,Kevin Tighe,Action Drama Thriller,Catherine Bell,Men of War,Tim Guinee,Perry Lang Kevin Tighe Action Drama Thriller Catherine Bell Tim Guinee
3646,Jake Goldberger,M. Emmet Walsh,Drama Mystery Thriller,Pruitt Taylor Vince,Don McKay,Robert Wahlberg,Jake Goldberger M. Emmet Walsh Drama Mystery Thriller Pruitt Taylor Vince Robert Wahlberg
3647,Stefan Ruzowitzky,Olivia Wilde,Crime Drama Thriller,Charlie Hunnam,Deadfall,Sissy Spacek,Stefan Ruzowitzky Olivia Wilde Crime Drama Thriller Charlie Hunnam Sissy Spacek
3648,Vic Sarin,Aidan Quinn,Drama Family,Connie Nielsen,A Shine of Rainbows,John Bell,Vic Sarin Aidan Quinn Drama Family Connie Nielsen John Bell
3649,William Kaufman,Sean Cook,Action Thriller,Drew Waters,The Hit List,Cole Hauser,William Kaufman Sean Cook Action Thriller Drew Waters Cole Hauser
3651,David Cronenberg,Leslie Carlson,Horror Mystery Sci-Fi Thriller,Debbie Harry,Videodrome,Reiner Schwarz,David Cronenberg Leslie Carlson Horror Mystery Sci-Fi Thriller Debbie Harry Reiner Schwarz
3652,Cédric Klapisch,Cécile De France,Comedy Drama,Romain Duris,L'auberge espagnole,Iddo Goldberg,Cédric Klapisch Cécile De France Comedy Drama Romain Duris Iddo Goldberg
3653,Kate Barker-Froyland,Shawn Parsons,Drama Music,Anne Hathaway,Song One,Li Jun Li,Kate Barker-Froyland Shawn Parsons Drama Music Anne Hathaway Li Jun Li
3654,Barbet Schroeder,Chris Penn,Crime Mystery Thriller,Ryan Gosling,Murder by Numbers,Agnes Bruckner,Barbet Schroeder Chris Penn Crime Mystery Thriller Ryan Gosling Agnes Bruckner
3655,Martin Koolhoven,Tygo Gernandt,Drama History War,Yorick van Wageningen,Winter in Wartime,Martijn Lakemeier,Martin Koolhoven Tygo Gernandt Drama History War Yorick van Wageningen Martijn Lakemeier
3656,Charles Matthau,Michael Jai White,Comedy Crime Thriller,Billy Burke,Freaky Deaky,Bill Duke,Charles Matthau Michael Jai White Comedy Crime Thriller Billy Burke Bill Duke
3657,John Frankenheimer,Paul Scofield,Thriller War,Jeanne Moreau,The Train,Michel Simon,John Frankenheimer Paul Scofield Thriller War Jeanne Moreau Michel Simon
3658,Christopher M. Bessette,John Billingsley,Drama Thriller,Mira Sorvino,Trade of Innocents,Trieu Tran,Christopher M. Bessette John Billingsley Drama Thriller Mira Sorvino Trieu Tran
3659,Prachya Pinkaew,Nathan Jones,Action Crime Drama Thriller,Jon Foo,The Protector,Johnny Nguyen,Prachya Pinkaew Nathan Jones Action Crime Drama Thriller Jon Foo Johnny Nguyen
3660,Gary Sinyor,Frank Finlay,Comedy,Sean Pertwee,Stiff Upper Lips,Samuel West,Gary Sinyor Frank Finlay Comedy Sean Pertwee Samuel West
3662,Gurinder Chadha,Parminder Nagra,Comedy Drama Romance Sport,Archie Panjabi,Bend It Like Beckham,Anupam Kher,Gurinder Chadha Parminder Nagra Comedy Drama Romance Sport Archie Panjabi Anupam Kher
3663,John Sayles,Edie Falco,Drama Romance,Miguel Ferrer,Sunshine State,Timothy Hutton,John Sayles Edie Falco Drama Romance Miguel Ferrer Timothy Hutton
3664,Preston A. Whitmore II,Wayne Brady,Action Sport,Wesley Jonathan,Crossover,Eva Marcille,Preston A. Whitmore II Wayne Brady Action Sport Wesley Jonathan Eva Marcille
3665,Ashish R. Mohan,Mithun Chakraborty,Action Comedy,Asin,Khiladi 786,Johnny Lever,Ashish R. Mohan Mithun Chakraborty Action Comedy Asin Johnny Lever
3666,Jaume Balagueró,Pablo Rosso,Horror,Jonathan D. Mellor,[Rec] 2,Andrea Ros,Jaume Balagueró Pablo Rosso Horror Jonathan D. Mellor Andrea Ros
3667,Stewart Raffill,Alexis Biesiada,Musical,Kayla Jackson,Standing Ovation,Kayla Raparelli,Stewart Raffill Alexis Biesiada Musical Kayla Jackson Kayla Raparelli
3668,George Roy Hill,Robert Shaw,Comedy Crime Drama,Eileen Brennan,The Sting,Ray Walston,George Roy Hill Robert Shaw Comedy Crime Drama Eileen Brennan Ray Walston
3669,Hugh Hudson,Ben Cross,Biography Drama Sport,Alice Krige,Chariots of Fire,John Gielgud,Hugh Hudson Ben Cross Biography Drama Sport Alice Krige John Gielgud
3670,Darren Grant,Kimberly Elise,Comedy Drama Romance,Cicely Tyson,Diary of a Mad Black Woman,Tamara Taylor,Darren Grant Kimberly Elise Comedy Drama Romance Cicely Tyson Tamara Taylor
3671,Scott Hicks,Armin Mueller-Stahl,Biography Drama Music Romance,Noah Taylor,Shine,Nicholas Bell,Scott Hicks Armin Mueller-Stahl Biography Drama Music Romance Noah Taylor Nicholas Bell
3672,Joseph Gordon-Levitt,Scarlett Johansson,Comedy Drama Romance,Joseph Gordon-Levitt,Don Jon,Tony Danza,Joseph Gordon-Levitt Scarlett Johansson Comedy Drama Romance Joseph Gordon-Levitt Tony Danza
3673,Clint Eastwood,Richard Bull,Mystery Western,Clint Eastwood,High Plains Drifter,John Hillerman,Clint Eastwood Richard Bull Mystery Western Clint Eastwood John Hillerman
3674,Terry Zwigoff,Steve Buscemi,Comedy Drama,Scarlett Johansson,Ghost World,T.J. Thyne,Terry Zwigoff Steve Buscemi Comedy Drama Scarlett Johansson T.J. Thyne
3675,Richard Eyre,Jim Broadbent,Biography Drama Romance,Kate Winslet,Iris,Kris Marshall,Richard Eyre Jim Broadbent Biography Drama Romance Kate Winslet Kris Marshall
3676,William Sachs,Avery Schreiber,Comedy Sci-Fi,Stephen Macht,Galaxina,Angelo Rossitto,William Sachs Avery Schreiber Comedy Sci-Fi Stephen Macht Angelo Rossitto
3677,Christophe Barratier,François Berléand,Drama Music,Jean-Baptiste Maunier,The Chorus,Gérard Jugnot,Christophe Barratier François Berléand Drama Music Jean-Baptiste Maunier Gérard Jugnot
3678,Émile Gaudreault,Luke Kirby,Comedy Drama,Paul Sorvino,Mambo Italiano,Claudia Ferri,Émile Gaudreault Luke Kirby Comedy Drama Paul Sorvino Claudia Ferri
3679,James Cox,Louis Lombardi,Crime Drama Mystery Thriller,Alexis Dziena,Wonderland,Franky G,James Cox Louis Lombardi Crime Drama Mystery Thriller Alexis Dziena Franky G
3680,Spike Lee,John Savage,Drama,Ruby Dee,Do the Right Thing,Danny Aiello,Spike Lee John Savage Drama Ruby Dee Danny Aiello
3681,James Toback,Eric Stoltz,Comedy Crime Drama Romance Thriller,Sarah Michelle Gellar,Harvard Man,Joey Lauren Adams,James Toback Eric Stoltz Comedy Crime Drama Romance Thriller Sarah Michelle Gellar Joey Lauren Adams
3682,Aki Kaurismäki,Kati Outinen,Comedy Drama,Jean-Pierre Léaud,Le Havre,Jean-Pierre Darroussin,Aki Kaurismäki Kati Outinen Comedy Drama Jean-Pierre Léaud Jean-Pierre Darroussin
3683,Gaspar Noé,Albert Dupontel,Crime Drama Mystery Thriller,Philippe Nahon,Irreversible,Jo Prestia,Gaspar Noé Albert Dupontel Crime Drama Mystery Thriller Philippe Nahon Jo Prestia
3684,Hitoshi Matsumoto,Hitoshi Matsumoto,Comedy Drama,Lindsay Kay Hayward,R100,Shinobu Terajima,Hitoshi Matsumoto Hitoshi Matsumoto Comedy Drama Lindsay Kay Hayward Shinobu Terajima
3685,Rakeysh Omprakash Mehra,Steven Mackintosh,Comedy Drama History Romance,Anupam Kher,Rang De Basanti,Madhavan,Rakeysh Omprakash Mehra Steven Mackintosh Comedy Drama History Romance Anupam Kher Madhavan
3686,Collin Schiffli,John Heard,Drama,Kim Shaw,Animals,David Dastmalchian,Collin Schiffli John Heard Drama Kim Shaw David Dastmalchian
3687,George Ratliff,Cree Kelly,Action Comedy Drama Thriller,Jim Gaffigan,Salvation Boulevard,Mike Eshaq,George Ratliff Cree Kelly Action Comedy Drama Thriller Jim Gaffigan Mike Eshaq
3688,David Wain,Ken Marino,Comedy Romance,Jon Hamm,The Ten,Ron Silver,David Wain Ken Marino Comedy Romance Jon Hamm Ron Silver
3689,Shane Meadows,Paddy Considine,Comedy Drama,Bob Hoskins,A Room for Romeo Brass,Shane Meadows,Shane Meadows Paddy Considine Comedy Drama Bob Hoskins Shane Meadows
3690,Morten Tyldum,Synnøve Macody Lund,Crime Drama Thriller,Aksel Hennie,Headhunters,Julie R. Ølgaard,Morten Tyldum Synnøve Macody Lund Crime Drama Thriller Aksel Hennie Julie R. Ølgaard
3691,Jon Wright,Richard Coyle,Comedy Horror Sci-Fi Thriller,Russell Tovey,Grabbers,Bronagh Gallagher,Jon Wright Richard Coyle Comedy Horror Sci-Fi Thriller Russell Tovey Bronagh Gallagher
3692,Michael McGowan,Adam Butcher,Comedy Drama Sport,Campbell Scott,Saint Ralph,Gordon Pinsent,Michael McGowan Adam Butcher Comedy Drama Sport Campbell Scott Gordon Pinsent
3693,Liv Ullmann,Jessica Chastain,Drama Romance,Samantha Morton,Miss Julie,Colin Farrell,Liv Ullmann Jessica Chastain Drama Romance Samantha Morton Colin Farrell
3694,Jeannot Szwarc,Bill Erwin,Drama Fantasy Romance,Teresa Wright,Somewhere in Time,George Voskovec,Jeannot Szwarc Bill Erwin Drama Fantasy Romance Teresa Wright George Voskovec
3695,Rohan Sippy,Bipasha Basu,Action Crime Drama Thriller,Abhishek Bachchan,Dum Maaro Dum,Prateik,Rohan Sippy Bipasha Basu Action Crime Drama Thriller Abhishek Bachchan Prateik
3696,James Wan,Barbara Hershey,Fantasy Horror Thriller,Lin Shaye,Insidious: Chapter 2,Leigh Whannell,James Wan Barbara Hershey Fantasy Horror Thriller Lin Shaye Leigh Whannell
3697,Darren Lynn Bousman,Tony Nappo,Horror Mystery,Emmanuelle Vaugier,Saw II,Shawnee Smith,Darren Lynn Bousman Tony Nappo Horror Mystery Emmanuelle Vaugier Shawnee Smith
3698,Dan Trachtenberg,John Gallagher Jr.,Drama Horror Mystery Sci-Fi Thriller,Bradley Cooper,10 Cloverfield Lane,Sumalee Montano,Dan Trachtenberg John Gallagher Jr. Drama Horror Mystery Sci-Fi Thriller Bradley Cooper Sumalee Montano
3699,Jeff Tremaine,Steve-O,Comedy Documentary,Bam Margera,Jackass: The Movie,Chris Pontius,Jeff Tremaine Steve-O Comedy Documentary Bam Margera Chris Pontius
3700,David F. Sandberg,Amiah Miller,Horror,Billy Burke,Lights Out,Gabriel Bateman,David F. Sandberg Amiah Miller Horror Billy Burke Gabriel Bateman
3701,Henry Joost,Sprague Grayden,Horror,Johanna Braddy,Paranormal Activity 3,Christopher Nicholas Smith,Henry Joost Sprague Grayden Horror Johanna Braddy Christopher Nicholas Smith
3702,Stiles White,Shelley Hennig,Fantasy Horror,Lin Shaye,Ouija,Daren Kagasoff,Stiles White Shelley Hennig Fantasy Horror Lin Shaye Daren Kagasoff
3703,Chuck Russell,Heather Langenkamp,Action Fantasy Horror Thriller,John Saxon,A Nightmare on Elm Street 3: Dream Warriors,Jennifer Rubin,Chuck Russell Heather Langenkamp Action Fantasy Horror Thriller John Saxon Jennifer Rubin
3704,Joel Edgerton,Allison Tolman,Mystery Thriller,Busy Philipps,The Gift,Wendell Pierce,Joel Edgerton Allison Tolman Mystery Thriller Busy Philipps Wendell Pierce
3705,Eugenio Derbez,Jessica Lindsey,Comedy Drama,Eugenio Derbez,Instructions Not Included,Hugo Stiglitz,Eugenio Derbez Jessica Lindsey Comedy Drama Eugenio Derbez Hugo Stiglitz
3706,Henry Joost,Brendon Eggertsen,Horror,Matt Shively,Paranormal Activity 4,Alisha Boe,Henry Joost Brendon Eggertsen Horror Matt Shively Alisha Boe
3707,Henry Koster,Jean Simmons,Drama History,Richard Burton,The Robe,Victor Mature,Henry Koster Jean Simmons Drama History Richard Burton Victor Mature
3708,Blake Edwards,Herbert Lom,Comedy Crime Mystery,Burt Kwouk,The Return of the Pink Panther,Catherine Schell,Blake Edwards Herbert Lom Comedy Crime Mystery Burt Kwouk Catherine Schell
3709,Rachel Talalay,Tom Arnold,Comedy Fantasy Horror Thriller,Johnny Depp,Freddy's Dead: The Final Nightmare,Yaphet Kotto,Rachel Talalay Tom Arnold Comedy Fantasy Horror Thriller Johnny Depp Yaphet Kotto
3710,Patty Jenkins,Bruce Dern,Biography Crime Drama Thriller,Charlize Theron,Monster,Pruitt Taylor Vince,Patty Jenkins Bruce Dern Biography Crime Drama Thriller Charlize Theron Pruitt Taylor Vince
3711,Richard Fleischer,Robert J. Wilke,Adventure Drama Family Fantasy Sci-Fi,James Mason,"20,000 Leagues Under the Sea",Paul Lukas,Richard Fleischer Robert J. Wilke Adventure Drama Family Fantasy Sci-Fi James Mason Paul Lukas
3712,Christopher Landon,Gloria Sandoval,Fantasy Horror Thriller,Richard Cabral,Paranormal Activity: The Marked Ones,Molly Ephraim,Christopher Landon Gloria Sandoval Fantasy Horror Thriller Richard Cabral Molly Ephraim
3713,David Lynch,Anne Bancroft,Biography Drama,Anthony Hopkins,The Elephant Man,Dexter Fletcher,David Lynch Anne Bancroft Biography Drama Anthony Hopkins Dexter Fletcher
3714,Jean-Marc Vallée,Jennifer Garner,Biography Drama,Matthew McConaughey,Dallas Buyers Club,Denis O'Hare,Jean-Marc Vallée Jennifer Garner Biography Drama Matthew McConaughey Denis O'Hare
3715,David Gelb,Mark Duplass,Horror Sci-Fi Thriller,Olivia Wilde,The Lazarus Effect,Donald Glover,David Gelb Mark Duplass Horror Sci-Fi Thriller Olivia Wilde Donald Glover
3716,Christopher Nolan,Thomas Lennon,Mystery Thriller,Callum Rennie,Memento,Jorja Fox,Christopher Nolan Thomas Lennon Mystery Thriller Callum Rennie Jorja Fox
3717,Mike Flanagan,Rory Cochrane,Horror Mystery,James Lafferty,Oculus,Garrett Ryan,Mike Flanagan Rory Cochrane Horror Mystery James Lafferty Garrett Ryan
3718,Kevin Smith,Jason Mewes,Comedy,Ethan Suplee,Clerks II,Brian O'Halloran,Kevin Smith Jason Mewes Comedy Ethan Suplee Brian O'Halloran
3719,Stephen Daldry,Gary Lewis,Drama Music,Julie Walters,Billy Elliot,Jamie Draven,Stephen Daldry Gary Lewis Drama Music Julie Walters Jamie Draven
3720,Nat Faxon,Liam James,Comedy Drama,Steve Carell,The Way Way Back,Jim Rash,Nat Faxon Liam James Comedy Drama Steve Carell Jim Rash
3721,George Jackson,Tisha Campbell-Martin,Comedy Drama Music Romance,William Schallert,House Party 2,Helen Martin,George Jackson Tisha Campbell-Martin Comedy Drama Music Romance William Schallert Helen Martin
3722,George Miller,Jack Thompson,Adventure Drama Family Romance Western,Tony Bonner,The Man from Snowy River,Tom Burlinson,George Miller Jack Thompson Adventure Drama Family Romance Western Tony Bonner Tom Burlinson
3723,Maurice Joyce,Constance Shulman,Animation Comedy Family,Frank Welker,Doug's 1st Movie,Alice Playten,Maurice Joyce Constance Shulman Animation Comedy Family Frank Welker Alice Playten
3724,Robert Duvall,Todd Allen,Drama,John Beasley,The Apostle,June Carter Cash,Robert Duvall Todd Allen Drama John Beasley June Carter Cash
3725,Frank Perry,Xander Berkeley,Biography Drama,Faye Dunaway,Mommie Dearest,Diana Scarwid,Frank Perry Xander Berkeley Biography Drama Faye Dunaway Diana Scarwid
3726,Jesse Peretz,Adam Scott,Comedy Drama,Zooey Deschanel,Our Idiot Brother,Steve Coogan,Jesse Peretz Adam Scott Comedy Drama Zooey Deschanel Steve Coogan
3727,Stephen Hopkins,Tony Curran,Biography Drama Sport,William Hurt,Race,David Kross,Stephen Hopkins Tony Curran Biography Drama Sport William Hurt David Kross
3728,Ice Cube,Monica Calhoun,Comedy Drama,Bernie Mac,The Players Club,Chrystale Wilson,Ice Cube Monica Calhoun Comedy Drama Bernie Mac Chrystale Wilson
3729,Tim Blake Nelson,Andrew Keegan,Drama Romance Thriller,Mekhi Phifer,O,John Heard,Tim Blake Nelson Andrew Keegan Drama Romance Thriller Mekhi Phifer John Heard
3730,John Erick Dowdle,Edwin Hodge,Horror Mystery Thriller,Ben Feldman,"As Above, So Below",Perdita Weeks,John Erick Dowdle Edwin Hodge Horror Mystery Thriller Ben Feldman Perdita Weeks
3731,Bille Woodruff,Cameron Mills,Drama Thriller,Boris Kodjoe,Addicted,Sharon Leal,Bille Woodruff Cameron Mills Drama Thriller Boris Kodjoe Sharon Leal
3732,Kasi Lemmons,Lynn Whitfield,Drama,Jurnee Smollett-Bell,Eve's Bayou,Diahann Carroll,Kasi Lemmons Lynn Whitfield Drama Jurnee Smollett-Bell Diahann Carroll
3733,Richard Glatzer,Hunter Parrish,Drama,Kristen Stewart,Still Alice,Seth Gilliam,Richard Glatzer Hunter Parrish Drama Kristen Stewart Seth Gilliam
3734,Michael Curtiz,Peter Ustinov,Drama History,Gene Tierney,The Egyptian,Jean Simmons,Michael Curtiz Peter Ustinov Drama History Gene Tierney Jean Simmons
